# Datos atómicos para el ión O III. Longitud de onda de las transiciones (lambda), probabilidades de transición (A), y fuerzas de colisión (Omega).

#          (Amstrong)   (s-1)	     Omega(T)		Omega(T)	    Omega(T)	     Omega(T)       E_Niveles(eV)
Transición	 Lamda        A       Omega5000K		Omega10000K	  Omega15000K	   Omega20000K	   E_transicion
3P1-3P0	883300	2.596e-5	0.5199		0.5421		0.5538		0.5587		0.0140323	
3P2-3P0	326500	3.03e-11	0.2424		0.2568		0.2682		0.2766  		0.0379607
3P2-3P1   	518000	9.632e-5	1.1873		1.2526		1.2940		1.3194		0.0239284
1D2-3P0	4931.2	2.322e-6	0.2265		0.2492		0.2645		0.2739		2.513565	
1D2-3P1	4958.9	6.791e-3	0.6824		0.7506		0.7966		0.8247		2.4995327
1D2-3P2	5006.8	2.046e-2	1.1475		1.2620		1.3385		1.3850		2.4756043
1S0-3P0	2314.9	0.000		0.0295		0.0327		0.0349		0.0363		5.354349
1S0-3P1	2321.0	0.2255	0.0890		0.0985		0.1051		0.1093		5.3403167
1S0-3P2	2331.4	6.998e-4	0.1496		0.1657		0.1769		0.1839		5.3163883
1S0-1D2	4363.2	1.685		0.5208		0.6174		0.6257		0.6162		2.840784


